Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kWh),Electric Propulsion (kWh) Questionable,Electric Battery (kWh),Electric Battery (kWh) Questionable,Diesel (miles),Diesel Questionable,Gasoline (miles),Gasoline Questionable,Liquefied Petroleum Gas (miles),Liquefied Petroleum Gas Questionable,Compressed Natural Gas (miles),Compressed Natural Gas Questionable,Other Fuel (miles),Other Fuel Questionable,Electric Propulsion (miles),Electric Propulsion Questionable,Electric Battery (miles),Electric Battery Questionable,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kWh),Electric Propulsion (mi/kWh) Questionable,Electric Battery (mi/kWh),Electric Battery (mi/kWh) Questionable
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,71155,"Port Huron, MI","82,226",207,DR,PT,161.00,77381.00,,1579.00,,0.00,,20317.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,157287.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,71155,"Port Huron, MI","82,226",207,MB,DO,9.00,0.00,,0.00,,0.00,,84398.00,,0.00,,0.00,,0.00,,50955.00,,0.00,,0.00,,0.00,,141223.00,,0.00,,0.00,,15287.00,,,,,,,,,,,,,,0.30,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,71155,"Port Huron, MI","82,226",207,CB,DO,3.00,0.00,,0.00,,0.00,,20978.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,112584.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,71155,"Port Huron, MI","82,226",207,DR,DO,34.00,0.00,,0.00,,0.00,,183378.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,810210.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"Board of  Clermont County Commissioners, dba: Clermont Transportation Connection",Batavia,OH,50166,"City, County or Local Government Unit or Department of Transportation",Full Reporter,16885,"Cincinnati, OH--KY","1,686,744",36,DR,DO,11.00,0.00,,39173.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,218044.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,5.57,,,,,,,,,,,
"Board of  Clermont County Commissioners, dba: Clermont Transportation Connection",Batavia,OH,50166,"City, County or Local Government Unit or Department of Transportation",Full Reporter,16885,"Cincinnati, OH--KY","1,686,744",36,DR,PT,18.00,0.00,,46687.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,516370.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,11.06,,,,,,,,,,,
"Board of  Clermont County Commissioners, dba: Clermont Transportation Connection",Batavia,OH,50166,"City, County or Local Government Unit or Department of Transportation",Full Reporter,16885,"Cincinnati, OH--KY","1,686,744",36,MB,DO,7.00,5876.00,,7438.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,37892.00,,218671.00,,0.00,,0.00,,0.00,,0.00,,0.00,,6.45,,29.40,,,,,,,,,,,
"Board of County Commissioners of St. Lucie County, dba: Area Regional Transit - ART",Fort Pierce,FL,41199,"City, County or Local Government Unit or Department of Transportation",Full Reporter,71479,"Port St. Lucie, FL","437,745",44,DR,PT,31.00,47085.00,,84538.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,243077.00,,593221.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.16,,7.02,,,,,,,,,,,
"Board of County Commissioners of St. Lucie County, dba: Area Regional Transit - ART",Fort Pierce,FL,41199,"City, County or Local Government Unit or Department of Transportation",Full Reporter,71479,"Port St. Lucie, FL","437,745",44,MB,PT,13.00,84024.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,550142.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,6.55,,,,,,,,,,,,,
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.",West Palm Beach,FL,40037,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",359,DR,PT,243.00,0.00,,956927.00,,0.00,,0.00,,0.00,,271788.00,,0.00,,0.00,,0.00,,8707837.00,,0.00,,0.00,,1163692.00,,0.00,,0.00,,,,9.10,,,,0.00,,,,,,,
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.",West Palm Beach,FL,40037,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",359,MB,DO,116.00,1828524.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,7704684.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.21,,,,,,,,,,,,,
"Borough of Pottstown, dba: Pottstown Area Rapid Transit",Pottstown,PA,30077,"City, County or Local Government Unit or Department of Transportation",Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",6,MB,PT,5.00,58516.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,275189.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.70,,,,,,,,,,,,,
"Borough of Pottstown, dba: Pottstown Area Rapid Transit",Pottstown,PA,30077,"City, County or Local Government Unit or Department of Transportation",Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",6,DR,PT,1.00,0.00,,3220.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,28730.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,8.92,,,,,,,,,,,
Brazos Transit District,Bryan,TX,60059,Independent Public Agency or Authority of Transit Service,Full Reporter,18748,"College Station--Bryan, TX","206,137",65,DR,DO,48.00,0.00,,186060.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1914883.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,10.29,,,,,,,,,,,
Brazos Transit District,Bryan,TX,60059,Independent Public Agency or Authority of Transit Service,Full Reporter,18748,"College Station--Bryan, TX","206,137",65,MB,DO,17.00,103873.00,,31787.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,574186.00,,403088.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.53,,12.68,,,,,,,,,,,
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,40063,"City, County or Local Government Unit or Department of Transportation",Full Reporter,67105,"Palm Bay--Melbourne, FL","510,675",86,DR,DO,32.00,131202.00,,55139.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3772604.00,,290546.00,,0.00,,0.00,,0.00,,0.00,,0.00,,28.75,,5.27,,,,,,,,,,,
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,40063,"City, County or Local Government Unit or Department of Transportation",Full Reporter,67105,"Palm Bay--Melbourne, FL","510,675",86,MB,DO,35.00,379423.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,633404.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1.67,,,,,,,,,,,,,
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,40063,"City, County or Local Government Unit or Department of Transportation",Full Reporter,67105,"Palm Bay--Melbourne, FL","510,675",86,VP,PT,19.00,0.00,,19086.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,722252.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,37.84,,,,,,,,,,,
Brockton Area Transit Authority,Brockton,MA,10004,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009",82,DR,PT,38.00,0.00,,68400.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,476289.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.96,,,,,,,,,,,
Brockton Area Transit Authority,Brockton,MA,10004,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009",82,MB,PT,44.00,250845.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1139381.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.54,,,,,,,,,,,,,
"Broome County, dba: Department of Transportation/BC Transit",Binghamton,NY,20003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,7732,"Binghamton, NY","155,942",50,MB,DO,38.00,251939.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1245707.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.94,,,,,,,,,,,,,
"Broome County, dba: Department of Transportation/BC Transit",Binghamton,NY,20003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,7732,"Binghamton, NY","155,942",50,DR,DO,12.00,0.00,,55561.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,388225.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.99,,,,,,,,,,,
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,40029,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",509,DR,PT,224.00,0.00,,563087.00,,707724.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,96617.00,,9693754.00,,0.00,,9693754.00,,0.00,,0.00,,,,0.17,,13.70,,,,,,,,,
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,40029,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",509,MB,DO,278.00,4042687.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,14151148.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3.50,,,,,,,,,,,,,
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,40029,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",509,MB,PT,7.00,0.00,,0.00,,77337.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,324449.00,,0.00,,324449.00,,0.00,,0.00,,,,,,4.20,,,,,,,,,
"Buncombe County, dba: Mountain Mobility",Asheville,NC,40224,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3358,"Asheville, NC","285,776",27,DR,PT,24.00,0.00,,71976.00,,5541.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,972741.00,,0.00,,25242.00,,682466.00,,0.00,,0.00,,,,13.51,,0.00,,,,,,,,,
"Buncombe County, dba: Mountain Mobility",Asheville,NC,40224,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3358,"Asheville, NC","285,776",27,MB,PT,3.00,0.00,,12532.00,,965.00,,4173.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,0.00,,0.00,,,,,,,,,
Butler County Regional Transit Authority,Hamilton,OH,50157,Independent Public Agency or Authority of Transit Service,Full Reporter,16885,"Cincinnati, OH--KY","1,686,744",36,DR,DO,20.00,0.00,,75981.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1081311.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,14.23,,,,,,,,,,,
Butler County Regional Transit Authority,Hamilton,OH,50157,Independent Public Agency or Authority of Transit Service,Full Reporter,16885,"Cincinnati, OH--KY","1,686,744",36,MB,DO,16.00,53158.00,,41875.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,278361.00,,172647.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.24,,4.12,,,,,,,,,,,
Butte County Association of Governments,Chico,CA,90208,"MPO, COG or Other Planning Agency",Full Reporter,16318,"Chico, CA","111,411",36,DR,PT,12.00,0.00,,52161.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,287459.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,5.51,,,,,,,,,,,
Butte County Association of Governments,Chico,CA,90208,"MPO, COG or Other Planning Agency",Full Reporter,16318,"Chico, CA","111,411",36,MB,PT,24.00,209877.00,,0.00,,0.00,,6478.00,,0.00,,0.00,,0.00,,0.00,,1100705.00,,0.00,,0.00,,18301.00,,0.00,,0.00,,0.00,,5.24,,,,,,,,,,,,,
Cache Valley Transit District,Logan,UT,80028,Independent Public Agency or Authority of Transit Service,Full Reporter,50959,"Logan, UT","113,927",28,DR,DO,7.00,0.00,,22126.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,150774.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.81,,,,,,,,,,,
Cache Valley Transit District,Logan,UT,80028,Independent Public Agency or Authority of Transit Service,Full Reporter,50959,"Logan, UT","113,927",28,MB,DO,21.00,209231.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1082025.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.17,,,,,,,,,,,,,
"California Vanpool Authority, dba: CalVans",Hanford,CA,90230,Independent Public Agency or Authority of Transit Service,Full Reporter,36703,"Hanford, CA","66,638",758,VP,DO,758.00,0.00,,888006.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,11078609.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,12.48,,,,,,,,,,,
Cambria County Transit Authority,Johnstown,PA,30012,Independent Public Agency or Authority of Transit Service,Full Reporter,43291,"Johnstown, PA","61,521",46,DR,DO,14.00,0.00,,16584.00,,0.00,,56908.00,,0.00,,0.00,,0.00,,0.00,,0.00,,223520.00,,0.00,,116103.00,,0.00,,0.00,,0.00,,,,13.48,,,,,,,,,,,
Cambria County Transit Authority,Johnstown,PA,30012,Independent Public Agency or Authority of Transit Service,Full Reporter,43291,"Johnstown, PA","61,521",46,IP,DO,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,42283.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,0.00,,,
Cambria County Transit Authority,Johnstown,PA,30012,Independent Public Agency or Authority of Transit Service,Full Reporter,43291,"Johnstown, PA","61,521",46,MB,DO,32.00,93289.00,,20270.00,,0.00,,119252.00,,0.00,,0.00,,0.00,,0.00,,386785.00,,55838.00,,0.00,,709883.00,,0.00,,0.00,,0.00,,4.15,,2.75,,,,,,,,,,,
Cape Ann Transportation Authority,Gloucester,MA,10053,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009",20,DR,PT,10.00,0.00,,35115.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,260988.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.43,,,,,,,,,,,
Cape Ann Transportation Authority,Gloucester,MA,10053,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009",20,MB,PT,10.00,58091.00,,9905.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,309281.00,,15389.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.32,,1.55,,,,,,,,,,,
Cape Cod Regional Transit Authority,Hyannis,MA,10105,Independent Public Agency or Authority of Transit Service,Full Reporter,5167,"Barnstable Town, MA","303,269",133,DR,PT,70.00,0.00,,132303.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1572462.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,11.89,,,,,,,,,,,
Cape Cod Regional Transit Authority,Hyannis,MA,10105,Independent Public Agency or Authority of Transit Service,Full Reporter,5167,"Barnstable Town, MA","303,269",133,DR,TX,8.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
Cape Cod Regional Transit Authority,Hyannis,MA,10105,Independent Public Agency or Authority of Transit Service,Full Reporter,5167,"Barnstable Town, MA","303,269",133,MB,PT,55.00,151836.00,,72899.00,,0.00,,0.00,,7991.00,,0.00,,0.00,,0.00,,1205915.00,,526921.00,,0.00,,0.00,,0.00,,0.00,,0.00,,7.94,,7.23,,,,,,,,,,,
"Cape Fear Public Transportation Authority, dba: Wave Transit",Wilmington,NC,40006,Independent Public Agency or Authority of Transit Service,Full Reporter,95833,"Wilmington, NC","255,329",43,MB,PT,23.00,24233.00,,0.00,,0.00,,239154.00,,0.00,,0.00,,0.00,,0.00,,160801.00,,0.00,,0.00,,903099.00,,0.00,,0.00,,0.00,,6.64,,,,,,,,,,,,,
"Cape Fear Public Transportation Authority, dba: Wave Transit",Wilmington,NC,40006,Independent Public Agency or Authority of Transit Service,Full Reporter,95833,"Wilmington, NC","255,329",43,VP,DO,1.00,0.00,,491.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,6716.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,13.68,,,,,,,,,,,
"Cape Fear Public Transportation Authority, dba: Wave Transit",Wilmington,NC,40006,Independent Public Agency or Authority of Transit Service,Full Reporter,95833,"Wilmington, NC","255,329",43,DR,DO,19.00,0.00,,57878.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,394091.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.81,,,,,,,,,,,
Cape May Lewes Ferry,New Castle,DE,20223,Independent Public Agency or Authority of Transit Service,Full Reporter,3904,"Atlantic City--Ocean City--Villas, NJ","294,921",3,FB,DO,3.00,870031.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,71640.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.08,,,,,,,,,,,,,
Capital Area Transit System,Baton Rouge,LA,60022,Independent Public Agency or Authority of Transit Service,Full Reporter,5680,"Baton Rouge, LA","631,326",66,DR,PT,22.00,0.00,,93634.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,659414.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.04,,,,,,,,,,,
Capital Area Transit System,Baton Rouge,LA,60022,Independent Public Agency or Authority of Transit Service,Full Reporter,5680,"Baton Rouge, LA","631,326",66,MB,DO,44.00,697395.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,914.00,,2419188.00,,0.00,,0.00,,0.00,,0.00,,0.00,,77811.00,,3.47,,,,,,,,,,,,85.13,
Capital Area Transportation Authority,Lansing,MI,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,47719,"Lansing, MI","318,300",163,MB,DO,87.00,719485.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,2947396.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.10,,,,,,,,,,,,,
Capital Area Transportation Authority,Lansing,MI,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,47719,"Lansing, MI","318,300",163,MB,PT,2.00,0.00,,1330.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,,,,,
Capital Area Transportation Authority,Lansing,MI,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,47719,"Lansing, MI","318,300",163,DR,DO,27.00,3064.00,,143985.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,12789.00,,776169.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.17,,5.39,,,,,,,,,,,
Capital Area Transportation Authority,Lansing,MI,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,47719,"Lansing, MI","318,300",163,DR,PT,47.00,0.00,,165184.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1625397.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,9.84,,,,,,,,,,,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,970,"Albany--Schenectady, NY","593,142",323,DR,PT,44.00,0.00,,219263.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1078846.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,4.92,,,,,,,,,,,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,970,"Albany--Schenectady, NY","593,142",323,MB,DO,217.00,2052309.00,,16493.00,,0.00,,0.00,,0.00,,0.00,,0.00,,27415.00,,9454936.00,,108083.00,,0.00,,0.00,,0.00,,0.00,,104026.00,,4.61,,6.55,,,,,,,,,,3.79,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,970,"Albany--Schenectady, NY","593,142",323,VP,PT,38.00,0.00,,27139.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,,,,,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,970,"Albany--Schenectady, NY","593,142",323,CB,PT,6.00,97153.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,970,"Albany--Schenectady, NY","593,142",323,DR,DO,18.00,0.00,,161978.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1235039.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.62,,,,,,,,,,,
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,60048,Independent Public Agency or Authority of Transit Service,Full Reporter,4384,"Austin, TX","1,809,888",629,MB,PT,285.00,3881130.00,,27203.00,,0.00,,0.00,,0.00,,0.00,,0.00,,442421.00,,15807368.00,,186385.00,,0.00,,0.00,,0.00,,0.00,,190575.00,,4.07,,6.85,,,,,,,,,,0.43,
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,60048,Independent Public Agency or Authority of Transit Service,Full Reporter,4384,"Austin, TX","1,809,888",629,VP,PT,143.00,0.00,,109295.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,2026929.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,18.55,,,,,,,,,,,
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,60048,Independent Public Agency or Authority of Transit Service,Full Reporter,4384,"Austin, TX","1,809,888",629,YR,PT,12.00,268921.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,874300.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3.25,,,,,,,,,,,,,
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,60048,Independent Public Agency or Authority of Transit Service,Full Reporter,4384,"Austin, TX","1,809,888",629,CB,PT,12.00,151782.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,725598.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.78,,,,,,,,,,,,,
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,60048,Independent Public Agency or Authority of Transit Service,Full Reporter,4384,"Austin, TX","1,809,888",629,DR,PT,177.00,230151.00,,460243.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1686078.00,,3851638.00,,0.00,,0.00,,0.00,,0.00,,0.00,,7.33,,8.37,,,,,,,,,,,
Casco Bay Island Transit District,Portland,ME,10088,Independent Public Agency or Authority of Transit Service,Full Reporter,71263,"Portland, ME","205,356",4,FB,DO,4.00,258519.00,,0.00,,0.00,,0.00,,45658.00,,0.00,,0.00,,0.00,,102180.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.40,,,,,,,,,,,,,
"Central Contra Costa Transit Authority, dba: COUNTY CONNECTION",Concord,CA,90078,Independent Public Agency or Authority of Transit Service,Full Reporter,19504,"Concord--Walnut Creek, CA","538,583",118,MB,PT,2.00,0.00,,5565.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,43066.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.74,,,,,,,,,,,
"Central Contra Costa Transit Authority, dba: COUNTY CONNECTION",Concord,CA,90078,Independent Public Agency or Authority of Transit Service,Full Reporter,19504,"Concord--Walnut Creek, CA","538,583",118,DR,PT,38.00,0.00,,98334.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,546585.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,5.56,,,,,,,,,,,
"Central Contra Costa Transit Authority, dba: COUNTY CONNECTION",Concord,CA,90078,Independent Public Agency or Authority of Transit Service,Full Reporter,19504,"Concord--Walnut Creek, CA","538,583",118,MB,DO,78.00,589352.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,185446.00,,3005911.00,,0.00,,0.00,,0.00,,0.00,,0.00,,70244.00,,5.10,,,,,,,,,,,,0.38,
Central County Transportation Authority,Kalamazoo,MI,50035,Independent Public Agency or Authority of Transit Service,Full Reporter,43723,"Kalamazoo, MI","204,562",66,DR,PT,41.00,64850.00,,63293.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333327.00,,843111.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.14,,13.32,,,,,,,,,,,
Central County Transportation Authority,Kalamazoo,MI,50035,Independent Public Agency or Authority of Transit Service,Full Reporter,43723,"Kalamazoo, MI","204,562",66,MB,DO,25.00,275989.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1439704.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.22,,,,,,,,,,,,,
"Central Florida Commuter Rail, dba: SunRail",Tallahassee,FL,40232,State Government Unit or Department of Transportation,Full Reporter,65863,"Orlando, FL","1,853,896",23,CR,PT,23.00,1185090.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,515596.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.44,,,,,,,,,,,,,
Central Florida Regional Transportation Authority,Orlando,FL,40035,Independent Public Agency or Authority of Transit Service,Full Reporter,65863,"Orlando, FL","1,853,896",550,VP,PT,128.00,0.00,,70883.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1390465.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,19.62,,,,,,,,,,,
Central Florida Regional Transportation Authority,Orlando,FL,40035,Independent Public Agency or Authority of Transit Service,Full Reporter,65863,"Orlando, FL","1,853,896",550,DR,PT,161.00,0.00,,988042.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,7649602.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.74,,,,,,,,,,,
